"","id","l2501","l2502","l2503","l2504","l2505","l2506","l2507","l2508","l2509","l2510","l2511","l2512","l2513","l2514","l2515"
"1",6,"比较同意","比较同意","比较不同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意"
"2",9,"比较同意","比较同意","完全同意","完全同意","无所谓","比较同意","完全同意","比较同意","完全同意","比较同意","完全不同意","比较不同意","完全同意","完全同意","比较同意"
"3",12,"比较同意","完全不同意","完全同意","完全同意","完全同意","完全同意","完全同意","比较不同意","完全同意","完全同意","完全同意","完全不同意","比较不同意","完全同意","完全同意"
"4",14,"比较同意","比较同意","比较同意","完全同意","比较不同意","完全同意","完全同意","无法选择","无法选择","比较同意","完全同意","拒绝回答","比较同意","比较不同意","完全不同意"
"5",16,"无法选择","无法选择","完全同意","完全同意","完全同意","无法选择","完全同意","无法选择","比较同意","比较不同意","完全同意","完全同意","比较同意","比较同意","比较同意"
"6",19,"完全同意","比较同意","完全同意","完全同意","完全同意","无法选择","完全同意","比较同意","完全同意","比较同意","完全同意","完全同意","完全同意","比较同意","完全同意"
"7",20,"无所谓","比较不同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","无法选择","比较同意","比较同意"
"8",21,"比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较不同意","无法选择","比较同意"
"9",22,"比较同意","比较同意","完全同意","完全同意","完全同意","比较不同意","完全同意","无法选择","完全同意","比较同意","完全同意","完全同意","无法选择","比较同意","无所谓"
"10",26,"无法选择","无法选择","比较同意","比较不同意","比较同意","比较同意","比较同意","比较同意","比较同意","无所谓","比较同意","比较不同意","完全同意","比较同意","比较同意"
"11",31,"比较同意","比较同意","无所谓","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","无所谓","无法选择","无法选择","比较同意","比较同意","比较同意"
"12",33,"比较同意","比较同意","比较同意","比较同意","比较同意","无所谓","无所谓","无所谓","比较同意","比较同意","无所谓","无所谓","无所谓","比较同意","比较同意"
"13",38,"无所谓","无所谓","无所谓","无所谓","比较不同意","完全同意","无法选择","无法选择","无所谓","无所谓","无法选择","无所谓","比较同意","无所谓","无法选择"
"14",45,"比较同意","比较同意","比较不同意","无所谓","比较不同意","比较同意","无所谓","无所谓","无所谓","比较同意","比较同意","无所谓","无所谓","无所谓","无所谓"
"15",51,"无法选择","无法选择","比较同意","无所谓","比较同意","无所谓","无所谓","无所谓","无所谓","无所谓","无所谓","无所谓","无所谓","比较同意","无所谓"
"16",57,"无所谓","比较同意","比较不同意","无所谓","无所谓","无所谓","无所谓","比较同意","无所谓","比较同意","无所谓","比较同意","无所谓","比较同意","无所谓"
"17",58,"不知道","无所谓","无所谓","无所谓","无所谓","比较同意","无所谓","比较同意","无所谓","比较同意","无所谓","无所谓","无所谓","无所谓","无所谓"
"18",61,"无法选择","无法选择","无所谓","无所谓","无所谓","无所谓","比较同意","比较同意","比较同意","完全同意","比较同意","完全同意","比较同意","无所谓","比较同意"
"19",76,"比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","完全同意","无法选择","比较同意","无法选择","无所谓","比较同意","比较同意","比较同意","无法选择"
"20",82,"比较同意","无所谓","比较同意","完全同意","比较同意","无所谓","比较同意","无所谓","比较同意","无所谓","无法选择","无所谓","比较同意","比较同意","比较同意"
"21",86,"完全同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较同意","比较不同意","比较同意","比较同意","比较同意","比较不同意","比较同意"
"22",91,"比较同意","无所谓","比较同意","无所谓","比较同意","比较同意","比较同意","无法选择","比较同意","比较同意","无法选择","无所谓","完全同意","比较同意","无所谓"
"23",99,"无法选择","完全同意","比较同意","无法选择","比较同意","比较同意","比较同意","完全同意","比较同意","比较不同意","无所谓","比较不同意","比较同意","比较同意","比较不同意"
"24",103,"比较不同意","比较不同意","比较同意","比较同意","比较同意","比较不同意","无所谓","比较不同意","比较同意","比较不同意","比较同意","无所谓","比较不同意","比较同意","无所谓"
"25",107,"比较不同意","比较不同意","比较同意","比较同意","比较同意","比较不同意","比较同意","比较同意","比较同意","比较不同意","比较同意","比较同意","比较同意","比较同意","比较同意"
