"","id","l2501","l2502","l2503","l2504","l2505","l2506","l2507","l2508","l2509","l2510","l2511","l2512","l2513","l2514","l2515","region","gender","age","education"
"1",6,4,2,2,2,4,2,4,2,4,2,4,2,4,2,4,1,1,47,4
"2",9,4,2,5,1,3,2,5,2,5,2,1,4,5,1,4,1,2,37,3
"3",12,4,5,5,1,5,1,5,4,5,1,5,5,2,1,5,1,1,46,4
"4",14,4,2,4,1,2,1,5,3.5040500736377,4.06256481161424,2,5,3.39461883408072,4,4,1,1,2,46,6
"5",16,3.71231884057971,3.22091062394604,5,1,5,2.92810902896082,5,3.5040500736377,4,4,5,1,4,2,4,1,1,77,2
"6",19,5,2,5,1,5,2.92810902896082,5,2,5,2,5,1,5,2,5,1,1,56,4
"7",20,3,4,4,2,4,2,4,2,4,2,4,2,3.89578250261415,2,4,1,1,41,3
"8",21,4,2,4,2,4,2,4,2,4,2,4,2,2,2.77097345132743,4,1,2,47,1
"9",22,4,2,5,1,5,4,5,3.5040500736377,5,2,5,1,3.89578250261415,2,3,1,2,39,4
"10",26,3.71231884057971,3.22091062394604,4,4,4,2,4,2,4,3,4,4,5,2,4,2,2,59,1
"11",31,4,2,3,2,4,2,4,2,4,3,3.89625668449198,3.39461883408072,4,2,4,2,1,41,3
"12",33,4,2,4,2,4,3,3,3,4,2,3,3,3,2,4,2,1,59,3
"13",38,3,3,3,3,2,1,4.14543630892678,3.5040500736377,3,3,3.89625668449198,3,4,3,3.81396981396981,2,2,32,3
"14",45,4,2,2,3,2,2,3,3,3,2,4,3,3,3,3,2,1,30,3
"15",51,3.71231884057971,3.22091062394604,4,3,4,3,3,3,3,3,3,3,3,2,3,2,2,61,3
"16",57,3,2,2,3,3,3,3,2,3,2,3,2,3,2,3,2,2,54,1
"17",58,3.71231884057971,3,3,3,3,2,3,2,3,2,3,3,3,3,3,2,1,44,1
"18",61,3.71231884057971,3.22091062394604,3,3,3,3,4,2,4,1,4,1,4,3,4,2,1,71,3
"19",76,4,2,4,2,4,2,5,3.5040500736377,4,3.4861646234676,3,2,4,2,3.81396981396981,2,2,53,1
"20",82,4,3,4,1,4,3,4,3,4,3,3.89625668449198,3,4,2,4,2,2,57,1
"21",86,5,2,4,2,4,2,4,2,4,4,4,2,4,4,4,2,1,35,4
"22",91,4,3,4,3,4,2,4,3.5040500736377,4,2,3.89625668449198,3,5,2,3,2,2,38,3
"23",99,3.71231884057971,1,4,2.32650273224044,4,2,4,1,4,4,3,4,4,2,2,1,1,41,4
"24",103,2,4,4,2,4,4,3,4,4,4,4,3,2,2,3,1,2,58,1
"25",107,2,4,4,2,4,4,4,2,4,4,4,2,4,2,4,1,1,46,6
"26",116,4,3,5,3,4,2,4,4,4,5,4,4,5,2,4,1,2,21,10
"27",120,4,5,4,2,4,5,4,5,4,5,4,2,1,5,4,1,2,22,12
"28",123,3,3,4,3,5,3,2,3,4,3,2,3,3,3,3,1,2,58,4
"29",129,3.71231884057971,2,4,2,4,2,4.14543630892678,5,4,4,3.89625668449198,4,3,2.77097345132743,4,1,2,56,4
"30",134,3,4,3,3,2,2,3,3,2,3,3,5,4,3,2,1,2,56,1
"31",142,4,4,4,2,3,4,4,4,4,4,4,4,3,4,4,1,2,19,6
"32",143,3,4,4,4,3,2,3,3,4,4,2,4,3,3,3,1,2,42,3
"33",148,4,4,4,4,4,4,5,5,5,4,5,5,4,4,4,2,2,19,6
"34",150,4,1,5,2,4,4,4,3.5040500736377,4,3.4861646234676,3.89625668449198,3.39461883408072,4,2,3.81396981396981,2,2,25,4
"35",153,2,3,4,2,4,2,4,4,4,2,2,2,4,2,4,2,2,46,1
"36",157,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,2,2,61,3
"37",159,3,2,4,2,5,2,3,2,2,1,2,2,3,2,1,2,1,44,4
"38",161,3.71231884057971,4,4,2,4,2.92810902896082,4,3.5040500736377,5,3.4861646234676,4,4,4,2.77097345132743,3,2,2,80,1
"39",162,4,3,4,3,4,4,2,4,4,4,4,3,4,3,3,2,1,25,4
"40",167,3,3,4,1,2,2,4,1,4.06256481161424,4,3,3,4,2,5,1,2,68,3
"41",169,4,3,4,4,3,4,2,3,3,2,5,2,3,4,2,1,1,68,3
"42",173,3.71231884057971,2,4,4,5,4,2,4,2,2,3,3.39461883408072,5,2,2,1,2,44,4
"43",185,4,3,4,1,4,2,4,1,3,3,4,3.39461883408072,3.89578250261415,4,3,1,2,45,1
"44",199,4,2,2,2,2,2,1,4,5,2,5,1,2,2,5,2,2,41,3
"45",205,4,4,4,2,2,5,4,5,4,4,5,4,2,4,2,2,2,18,4
"46",206,4,2,5,2,4,2.92810902896082,2,4,4,4,3.89625668449198,4,4,1,4,2,2,40,3
"47",207,2,3,4,3,5,2,5,4,4,2,5,2,4,2,4,2,2,43,3
"48",209,2,3,4,3,3,2,4,3.5040500736377,5,1,4,2,3.89578250261415,2.77097345132743,2,2,2,43,3
"49",213,2,4,5,1,4,2,3,4,4,2,2,2,2,2,2,2,2,54,3
"50",221,2,2,4,2,4,4,3,4,4,4,2,2,2,2,4,2,2,43,3
"51",225,5,2,4,2,3.91554959785523,1,5,4,4,3.4861646234676,2,2,4,2,2,2,2,59,3
"52",228,5,3,2,4,4,3,4.14543630892678,3.5040500736377,3,2,4,2,4,2,4,2,2,29,4
"53",238,5,2,3,3,5,1,1,3,4,3,3,1,5,2.77097345132743,5,2,1,53,3
"54",243,3.71231884057971,3,4,3,3,4,3,3,4,3.4861646234676,3.89625668449198,3.39461883408072,4,3,3,2,1,42,4
"55",255,4,2,2,1,5,5,5,5,1,3.4861646234676,3.89625668449198,1,1,5,1,2,1,54,3
"56",274,3,2,2,2,5,2,1,2,5,2,5,3,3,2,5,2,1,21,4
