"","id","l2501","l2502","l2503","l2504","l2505","l2506","l2507","l2508","l2509","l2510","l2511","l2512","l2513","l2514","l2515"
"1",6,4,2,2,2,4,2,4,2,4,2,4,2,4,2,4
"2",9,4,2,5,1,3,2,5,2,5,2,1,4,5,1,4
"3",12,4,5,5,1,5,1,5,4,5,1,5,5,2,1,5
"4",14,4,2,4,1,2,1,5,3.5040500736377,4.06256481161424,2,5,3.39461883408072,4,4,1
"5",16,3.71231884057971,3.22091062394604,5,1,5,2.92810902896082,5,3.5040500736377,4,4,5,1,4,2,4
"6",19,5,2,5,1,5,2.92810902896082,5,2,5,2,5,1,5,2,5
"7",20,3,4,4,2,4,2,4,2,4,2,4,2,3.89578250261415,2,4
"8",21,4,2,4,2,4,2,4,2,4,2,4,2,2,2.77097345132743,4
"9",22,4,2,5,1,5,4,5,3.5040500736377,5,2,5,1,3.89578250261415,2,3
"10",26,3.71231884057971,3.22091062394604,4,4,4,2,4,2,4,3,4,4,5,2,4
"11",31,4,2,3,2,4,2,4,2,4,3,3.89625668449198,3.39461883408072,4,2,4
"12",33,4,2,4,2,4,3,3,3,4,2,3,3,3,2,4
"13",38,3,3,3,3,2,1,4.14543630892678,3.5040500736377,3,3,3.89625668449198,3,4,3,3.81396981396981
"14",45,4,2,2,3,2,2,3,3,3,2,4,3,3,3,3
"15",51,3.71231884057971,3.22091062394604,4,3,4,3,3,3,3,3,3,3,3,2,3
"16",57,3,2,2,3,3,3,3,2,3,2,3,2,3,2,3
"17",58,3.71231884057971,3,3,3,3,2,3,2,3,2,3,3,3,3,3
"18",61,3.71231884057971,3.22091062394604,3,3,3,3,4,2,4,1,4,1,4,3,4
"19",76,4,2,4,2,4,2,5,3.5040500736377,4,3.4861646234676,3,2,4,2,3.81396981396981
"20",82,4,3,4,1,4,3,4,3,4,3,3.89625668449198,3,4,2,4
"21",86,5,2,4,2,4,2,4,2,4,4,4,2,4,4,4
"22",91,4,3,4,3,4,2,4,3.5040500736377,4,2,3.89625668449198,3,5,2,3
"23",99,3.71231884057971,1,4,2.32650273224044,4,2,4,1,4,4,3,4,4,2,2
"24",103,2,4,4,2,4,4,3,4,4,4,4,3,2,2,3
"25",107,2,4,4,2,4,4,4,2,4,4,4,2,4,2,4
"26",116,4,3,5,3,4,2,4,4,4,5,4,4,5,2,4
"27",120,4,5,4,2,4,5,4,5,4,5,4,2,1,5,4
"28",123,3,3,4,3,5,3,2,3,4,3,2,3,3,3,3
"29",129,3.71231884057971,2,4,2,4,2,4.14543630892678,5,4,4,3.89625668449198,4,3,2.77097345132743,4
"30",134,3,4,3,3,2,2,3,3,2,3,3,5,4,3,2
"31",142,4,4,4,2,3,4,4,4,4,4,4,4,3,4,4
"32",143,3,4,4,4,3,2,3,3,4,4,2,4,3,3,3
"33",148,4,4,4,4,4,4,5,5,5,4,5,5,4,4,4
"34",150,4,1,5,2,4,4,4,3.5040500736377,4,3.4861646234676,3.89625668449198,3.39461883408072,4,2,3.81396981396981
"35",153,2,3,4,2,4,2,4,4,4,2,2,2,4,2,4
"36",157,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4
"37",159,3,2,4,2,5,2,3,2,2,1,2,2,3,2,1
"38",161,3.71231884057971,4,4,2,4,2.92810902896082,4,3.5040500736377,5,3.4861646234676,4,4,4,2.77097345132743,3
"39",162,4,3,4,3,4,4,2,4,4,4,4,3,4,3,3
"40",167,3,3,4,1,2,2,4,1,4.06256481161424,4,3,3,4,2,5
"41",169,4,3,4,4,3,4,2,3,3,2,5,2,3,4,2
"42",173,3.71231884057971,2,4,4,5,4,2,4,2,2,3,3.39461883408072,5,2,2
"43",185,4,3,4,1,4,2,4,1,3,3,4,3.39461883408072,3.89578250261415,4,3
"44",199,4,2,2,2,2,2,1,4,5,2,5,1,2,2,5
"45",205,4,4,4,2,2,5,4,5,4,4,5,4,2,4,2
"46",206,4,2,5,2,4,2.92810902896082,2,4,4,4,3.89625668449198,4,4,1,4
"47",207,2,3,4,3,5,2,5,4,4,2,5,2,4,2,4
"48",209,2,3,4,3,3,2,4,3.5040500736377,5,1,4,2,3.89578250261415,2.77097345132743,2
"49",213,2,4,5,1,4,2,3,4,4,2,2,2,2,2,2
"50",221,2,2,4,2,4,4,3,4,4,4,2,2,2,2,4
"51",225,5,2,4,2,3.91554959785523,1,5,4,4,3.4861646234676,2,2,4,2,2
"52",228,5,3,2,4,4,3,4.14543630892678,3.5040500736377,3,2,4,2,4,2,4
"53",238,5,2,3,3,5,1,1,3,4,3,3,1,5,2.77097345132743,5
"54",243,3.71231884057971,3,4,3,3,4,3,3,4,3.4861646234676,3.89625668449198,3.39461883408072,4,3,3
"55",255,4,2,2,1,5,5,5,5,1,3.4861646234676,3.89625668449198,1,1,5,1
"56",274,3,2,2,2,5,2,1,2,5,2,5,3,3,2,5
"57",291,5,3,5,2,5,1,4,5,4,5,5,5,4,3,5
"58",293,2,2,4,2,4,2,4,3,4,2,4,4,4,2,4
"59",295,4,5,4,2,4,4,4,4,4,4,4,4,4,3,4
"60",297,5,2,4,2,4,2,5,2,4,4,4,2,4,2,4
"61",305,5,5,5,2,4,2,5,5,5,5,5,5,5,5,5
"62",310,5,5,5,4,5,5,5,5,5,5,3,5,5,4,5
"63",311,2,2,5,2,4,2,5,4,4,1,3,2,4,4,5
"64",312,3,2,4,2,4,4,4,3,5,3,5,5,4,4,4
"65",316,4,4,4,2,4,4,4,5,4,5,4,4,5,4,5
"66",318,4,2,4,2,4,2,4,4,4,4,2,4,4,2,2
"67",322,5,4,5,5,5,2,4,2,4,4,4,4,2,2,4
"68",326,3.71231884057971,1,5,2,4,5,5,3.5040500736377,4,4,5,5,1,4,4
"69",327,5,4,5,1,5,5,5,5,5,4,5,4,5,1,5
"70",330,4,2,4,2,4,2,4,3,3,3,3,3,3,2,4
"71",334,4,2,4,2,4,2,4,2,4,4,4,2,4,2,4
"72",340,5,1,5,2.32650273224044,5,4,4,5,5,5,5,1,5,1,5
"73",344,3.71231884057971,4,5,1,4,4,4,5,1,5,4,4,5,5,5
"74",353,2,5,5,2,4,2,4,4,5,4,5,5,5,5,5
"75",354,4,5,5,2,5,2,4,4,4,4,4,4,2,2,4
