"Question","Score","Frequency","Proportion"
"l2501",1,78,2.8
"l2501",2,350,12.7
"l2501",3,393,14.2
"l2501",4,1406,50.9
"l2501",5,533,19.3
"l2502",1,254,8.6
"l2502",2,797,26.9
"l2502",3,405,13.7
"l2502",4,1058,35.7
"l2502",5,451,15.2
"l2503",1,48,1.6
"l2503",2,177,5.9
"l2503",3,320,10.7
"l2503",4,1589,53
"l2503",5,862,28.8
"l2504",1,583,19.9
"l2504",2,1366,46.7
"l2504",3,498,17
"l2504",4,402,13.7
"l2504",5,79,2.7
"l2505",1,87,2.9
"l2505",2,255,8.5
"l2505",3,288,9.7
"l2505",4,1547,51.8
"l2505",5,807,27
"l2506",1,391,13.3
"l2506",2,932,31.8
"l2506",3,406,13.8
"l2506",4,909,31
"l2506",5,297,10.1
"l2507",1,44,1.5
"l2507",2,143,4.8
"l2507",3,264,8.8
"l2507",4,1423,47.6
"l2507",5,1117,37.3
"l2508",1,147,5.4
"l2508",2,470,17.3
"l2508",3,504,18.6
"l2508",4,1057,38.9
"l2508",5,538,19.8
"l2509",1,54,1.9
"l2509",2,147,5.1
"l2509",3,302,10.4
"l2509",4,1451,50.2
"l2509",5,939,32.5
"l2510",1,120,4.2
"l2510",2,514,18
"l2510",3,555,19.4
"l2510",4,1190,41.7
"l2510",5,476,16.7
"l2511",1,75,2.7
"l2511",2,263,9.4
"l2511",3,369,13.2
"l2511",4,1269,45.2
"l2511",5,829,29.6
"l2512",1,243,8.4
"l2512",2,561,19.4
"l2512",3,462,15.9
"l2512",4,1075,37.1
"l2512",5,558,19.2
"l2513",1,68,2.4
"l2513",2,240,8.4
"l2513",3,385,13.4
"l2513",4,1406,49
"l2513",5,770,26.8
"l2514",1,404,14.3
"l2514",2,972,34.4
"l2514",3,563,19.9
"l2514",4,639,22.6
"l2514",5,247,8.7
"l2515",1,85,3
"l2515",2,313,11
"l2515",3,461,16.2
"l2515",4,1178,41.3
"l2515",5,812,28.5
